Symbol,Company Name,Industry,Trailing PE,1Y Return,Market Cap (INR Crore),Screen Result,Price Error,Fundamental Error
TECHM,Tech Mahindra Ltd.,Information Technology,25.98341,-0.13872660090053213,124865.5179776,1Y return below 10%,,
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,43.14292,0.026517904072456355,1163958.4718848,P/E above 30; 1Y return below 10%,,
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,22.266281,-0.20035934342405215,105343.8246912,1Y return below 10%,,
TCS,Tata Consultancy Services Ltd.,Information Technology,15.611226,-0.3549602953013111,768843.5531776,1Y return below 10%,,
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,29.030354,-0.10029371729276082,282840.0590848,1Y return below 10%,,
HCLTECH,HCL Technologies Ltd.,Information Technology,18.45865,-0.3114128539580878,306211.6122624,1Y return below 10%,,
HAL,Hindustan Aeronautics Ltd.,Capital Goods,32.367283,-0.09028506948377202,294802.7121664,P/E above 30; 1Y return below 10%,,
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,48.424538,-0.025755309119092074,515641.3374464,P/E above 30; 1Y return below 10%,,
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,69.75998,0.04323171284004723,179005.4629376,P/E above 30; 1Y return below 10%,,
LTM,LTM Ltd.,Information Technology,22.666784,-0.2736340590644296,113618.7670528,1Y return below 10%,,
SOLARINDS,Solar Industries India Ltd.,Chemicals,97.652275,0.06994467618068279,163352.6480896,P/E above 30; 1Y return below 10%,,
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,49.47099,-0.02732345090644428,103163.2453632,P/E above 30; 1Y return below 10%,,
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,49.293102,-0.053062148670709464,125131.0698496,P/E above 30; 1Y return below 10%,,
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,71.11324,0.029959681232430313,109999.0695936,P/E above 30; 1Y return below 10%,,
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,73.26821,0.007434001055852013,180590.936064,P/E above 30; 1Y return below 10%,,
ETERNAL,Eternal Ltd.,Consumer Services,695.5263,0.0596583663429604,242994.5380864,P/E above 30; 1Y return below 10%,,
LODHA,Lodha Developers Ltd.,Realty,26.815128,-0.3537418093065833,91715.3972224,1Y return below 10%,,
DLF,DLF Ltd.,Realty,35.06457,-0.25102056950442864,154583.2103936,P/E above 30; 1Y return below 10%,,
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,39.262665,-0.21378154752033873,101599.3204736,P/E above 30; 1Y return below 10%,,
DMART,Avenue Supermarts Ltd.,Consumer Services,93.62087,0.019937618124828527,279604.5467648,P/E above 30; 1Y return below 10%,,
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,54.95214,-0.08650319399812434,96053.32992,P/E above 30; 1Y return below 10%,,
SHREECEM,Shree Cement Ltd.,Construction Materials,51.971066,-0.14039040245455825,90472.4742144,P/E above 30; 1Y return below 10%,,
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,74.22034,-0.05759824049540185,106545.8597888,P/E above 30; 1Y return below 10%,,
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,54.947834,-0.1468904944485382,102385.8507776,P/E above 30; 1Y return below 10%,,
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,66.8757,-0.21821722597630433,128545.980416,P/E above 30; 1Y return below 10%,,
JIOFIN,Jio Financial Services Ltd.,Financial Services,101.01239,-0.13822184112892077,161413.791744,P/E above 30; 1Y return below 10%,,
TRENT,Trent Ltd.,Consumer Services,99.651855,-0.43906047726194664,170943.6043264,P/E above 30; 1Y return below 10%,,
INDIGO,InterGlobe Aviation Ltd.,Services,,-0.045724536309307506,194160.0600064,Missing trailing P/E; 1Y return below 10%,,
TATACAP,Tata Capital Ltd.,Financial Services,31.163975,,154668.2892288,P/E above 30; Missing 1Y return,Fewer than 200 observations,
TMCV,Tata Motors Ltd.,Capital Goods,48.917274,,148072.8772608,P/E above 30; Missing 1Y return,Fewer than 200 observations,
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,,-0.46083269820736117,132383.5588608,Missing trailing P/E; 1Y return below 10%,,
VAML,Vedanta Aluminium Metal Ltd.,Metals & Mining,inf,,178720.5255168,P/E above 30; Missing 1Y return,Fewer than 200 observations,
VOGL,Vedanta Oil and Gas Ltd.,Oil Gas & Consumable Fuels,,,12832.9588736,Missing trailing P/E; Missing 1Y return,Fewer than 200 observations,
